portal,cnpj_emp,transacao,usuario,documento,chave_nf,ecf,numero_serie_ecf,modelo_nf,data_documento,data_lancamento,codigo_cliente,serie,desc_cfop,id_cfop,cod_vendedor,quantidade,preco_custo,valor_liquido,desconto,cst_icms,cst_pis,cst_cofins,cst_ipi,valor_icms,aliquota_icms,base_icms,valor_pis,aliquota_pis,base_pis,valor_cofins,aliquota_cofins,base_cofins,valor_icms_st,aliquota_icms_st,base_icms_st,valor_ipi,aliquota_ipi,base_ipi,valor_total,forma_dinheiro,total_dinheiro,forma_cheque,total_cheque,forma_cartao,total_cartao,forma_crediario,total_crediario,forma_convenio,total_convenio,frete,operacao,tipo_transacao,cod_produto,cod_barra,cancelado,excluido,soma_relatorio,identificador,deposito
8560,03772229001880,42,108649,7,43161103772229001880650100000000071638934186,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"37,98000000",37.98,"0,0000",0.00,01,01,99,"6,8400","18,0000","37,9800","0,2500","0,6500","37,9800","1,1400","3,0000","37,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",37.9799995422363,1,"56,9700",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,d392b6da-4584-4555-a65a-75c024e8b5bb,1 - Estoque
8560,03772229001880,43,108649,7,43161103772229001880650100000000071638934186,1,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,10,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"18,99000000",18.99,"0,0000",0.00,01,01,99,"3,4200","18,0000","18,9900","0,1200","0,6500","18,9900","0,5700","3,0000","18,9900","0,0000",,"0,0000","0,0000","0,0000","0,0000",18.9899997711182,1,"56,9700",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,11818,7898214626207,S,N,S,d392b6da-4584-4555-a65a-75c024e8b5bb,1 - Estoque
8560,03772229001880,44,108651,3,43161103772229001880650120000000031369402656,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,99ba0d9b-8905-4621-a0aa-727dc1d34406,1 - Estoque
8560,03772229001880,45,108651,4,43161103772229001880650120000000041149864593,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,e266911c-1b03-43af-8a99-96fb74f56a59,1 - Estoque
8560,03772229001880,46,108311,5,43161103772229001880650120000000051840652356,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,961b9df2-1d07-4452-adf6-080e1f940aca,1 - Estoque
8560,03772229001880,47,108311,6,43161103772229001880650120000000061426178464,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,f53e7616-8084-41f0-b76a-3504df2bca3b,1 - Estoque
8560,03772229001880,48,108311,7,43161103772229001880650120000000071061358627,3,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,12,Venda de mercadoria adquirida ou recebida de terceiros,5102,9,1,"19,98000000",19.98,"0,0000",0.00,01,01,99,"3,6000","18,0000","19,9800","0,1300","0,6500","19,9800","0,6000","3,0000","19,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",19.9799995422363,1,"19,9800",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,1019,7898524342941,S,N,S,39d7070f-9655-4530-895f-d2d043230ae9,1 - Estoque
8560,03772229001880,49,108650,7,43161103772229001880650110000000071301876710,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"35,98000000",35.98,"0,0000",0.00,01,01,99,"6,4800","18,0000","35,9800","0,2300","0,6500","35,9800","1,0800","3,0000","35,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",35.9799995422363,1,"152,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2542,7898581085577,N,N,S,50559089-1c18-4a5f-bf89-cf6e57ce9a29,1 - Estoque
8560,03772229001880,50,108650,7,43161103772229001880650110000000071301876710,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"43,98000000",43.98,"0,0000",0.00,01,01,99,"7,9200","18,0000","43,9800","0,2900","0,6500","43,9800","1,3200","3,0000","43,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",43.9799995422363,1,"152,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,2105,7898332357243,N,N,S,50559089-1c18-4a5f-bf89-cf6e57ce9a29,1 - Estoque
8560,03772229001880,51,108650,7,43161103772229001880650110000000071301876710,2,,35,25/11/2016 12:00:00,25/11/2016 12:00:00,1,11,Venda de mercadoria adquirida ou recebida de terceiros,5102,3,1,"34,98000000",34.98,"0,0000",0.00,01,01,99,"6,3000","18,0000","34,9800","0,2300","0,6500","34,9800","1,0500","3,0000","34,9800","0,0000",,"0,0000","0,0000","0,0000","0,0000",34.9799995422363,1,"152,9200",0,"0,0000",0,"0,0000",0,"0,0000",0,"0,0000","0,0000",S ,V,6784,7896014179411,N,N,S,50559089-1c18-4a5f-bf89-cf6e57ce9a29,1 - Estoque
